,Date,User,Tweet,ID
0,2023-05-04 23:56:16+00:00,calotey,é absurdo como eu sou apaixonada pelo escotismo,1654273771149074432
1,2023-05-04 23:41:15+00:00,Charloutt_,"Campori Osório 2022, um dos momentos da minha vida que eu morri e voltei a vida dps. Só lembro de chegar em casa uns 7 kg mais magra e me acabar chorando na minha cama. 
Nunca fui tão humilhada",1654269989589860352
2,2023-05-04 23:40:07+00:00,sorenzitos,"@ToinPierre Desbravador preservação, pela, bailu, natasha, td no b é um crime, é mínimo A pra eles",1654269707485061120
3,2023-05-04 22:55:38+00:00,lovers_ranpo,"@alyss0nz @i4geto É uma quantidade absurda e desnecessária, vc quer colecionar bandeira igual escoteiro 👍",1654258513105899523
4,2023-05-04 22:40:02+00:00,_Wallkiri_,"@TalesMendes15 Lado bom esse mesmo, março e o desbravador tão upados, já tem utilidade kkkkkk",1654254587174436866
5,2023-05-04 22:30:57+00:00,limasavre,"ainda bem q n coloquei fé nos escoteiros de MG  e na eb, que puta falta de responsabilidade, e se eu tivesse comprado passagem??",1654252298149740544
6,2023-05-04 22:21:57+00:00,litalideionia,"@olimpsarts Plínio, o desbravador! https://t.co/pqhEqfvwDr",1654250035553484801
7,2023-05-04 22:09:26+00:00,nasasevenseas,@_Wallkiri_ pelo menos é bom para o Desbravador de fogo,1654246885966729219
8,2023-05-04 22:07:26+00:00,beasharkie,"@marialuarduarda meu irmão ia gostar de conversar com vc! ele é escoteiro, tem tdah e é hiperfocado em escotismo",1654246382276935680
9,2023-05-04 22:05:14+00:00,Intager1,@bap_miguel @SLBonifacio Porque o Pepe foi lá ajudar a levantar o rapaz... é um escoteiro.,1654245830058995713
10,2023-05-04 22:00:26+00:00,linkantrope,"O foco do desbravador continua hoje  😝😉🤟🏼😎

Que mundo vamos salvar hoje ! STAR RAIL 

https://t.co/OCC21WFChC

#live #twitch #streamer #nevergiveup #lostark #musicas #prosa #conversa #chat  #gamer #gaymer #lbgtqia #quintou #starrail",1654244621910700033
